region,scenario,sector,indicator,year,value,unit,version,comments,source
USA,Historical,LULUCF,Emissions (absolute),1992,-887.63,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
UKR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1992,801.15,MtCO2e (GWP-AR4),2021-11-01,"Historical emissions, excl forestry",Latest country assessment
UKR,Historical,LULUCF,Emissions (absolute),1992,-59.67,MtCO2e (GWP-AR4),2021-11-01,Historical emissions/removals from forestry,Latest country assessment
GBR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1992,779.94,MtCO2e (GWP-AR4),2023-08-01,"Historical emissions, excl forestry",Latest country assessment
GBR,Historical,LULUCF,Emissions (absolute),1992,9.57,MtCO2e (GWP-AR4),2023-08-01,Historical emissions/removals from forestry,Latest country assessment
ARE,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1992,68.9,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
ARE,Historical,LULUCF,Emissions (absolute),1992,0,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
TUR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1992,233.31,MtCO2e (GWP-AR4),2023-05-01,"Historical emissions, excl forestry",Latest country assessment
TUR,Historical,LULUCF,Emissions (absolute),1992,-56.88,MtCO2e (GWP-AR4),2023-05-01,Historical emissions/removals from forestry,Latest country assessment
THA,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1992,171,MtCO2e (GWP-AR4),2023-10-01,"Historical emissions, excl forestry",Latest country assessment
CHE,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1992,52.74,MtCO2e (GWP-AR4),2023-06-01,"Historical emissions, excl forestry",Latest country assessment
CHE,Historical,LULUCF,Emissions (absolute),1992,-4.01,MtCO2e (GWP-AR4),2023-06-01,Historical emissions/removals from forestry,Latest country assessment
KOR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1992,352.89,MtCO2e (GWP-AR4),2023-06-01,"Historical emissions, excl forestry",Latest country assessment
KOR,Historical,LULUCF,Emissions (absolute),1992,-32.59,MtCO2e (GWP-AR4),2023-06-01,Historical emissions/removals from forestry,Latest country assessment
SGP,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1992,23.04,MtCO2e (GWP-AR4),2023-09-01,"Historical emissions, excl forestry",Latest country assessment
SAU,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1992,342,MtCO2e (GWP-AR4),2023-09-01,"Historical emissions, excl forestry",Latest country assessment
RUS,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1992,2524.62,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
RUS,Historical,LULUCF,Emissions (absolute),1992,-42.94,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
PHL,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1992,116.12,MtCO2e (GWP-AR4),2023-05-01,"Historical emissions, excl forestry",Latest country assessment
PER,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1992,53.8,MtCO2e (GWP-AR4),2022-09-01,"Historical emissions, excl forestry",Latest country assessment
NOR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1992,46.59,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
NOR,Historical,LULUCF,Emissions (absolute),1992,-11.02,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
NGA,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1992,224.02,MtCO2e (GWP-AR4),2023-06-01,"Historical emissions, excl forestry",Latest country assessment
NZL,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1992,67.33,MtCO2e (GWP-AR4),2022-10-01,"Historical emissions, excl forestry",Latest country assessment
NZL,Historical,LULUCF,Emissions (absolute),1992,-23.04,MtCO2e (GWP-AR4),2022-10-01,Historical emissions/removals from forestry,Latest country assessment
NPL,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1992,23.8,MtCO2e (GWP-AR4),2023-08-01,"Historical emissions, excl forestry",Latest country assessment
MAR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1992,37.9,MtCO2e (GWP-AR4),2023-04-01,"Historical emissions, excl forestry",Latest country assessment
MEX,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1992,469.53,MtCO2e (GWP-AR4),2023-10-01,"Historical emissions, excl forestry",Latest country assessment
MEX,Historical,LULUCF,Emissions (absolute),1992,-147.03,MtCO2e (GWP-AR4),2023-10-01,Historical emissions/removals from forestry,Latest country assessment
KEN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1992,40.61,MtCO2e (GWP-AR4),2022-05-01,"Historical emissions, excl forestry",Latest country assessment
KAZ,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1992,351.66,MtCO2e (GWP-AR4),2023-09-01,"Historical emissions, excl forestry",Latest country assessment
